1001	Ci sediamo sulla panca davanti alla casa.	我们坐在房子前的长凳上。
1003	Chiudi la porta, per favore.	请把门关上。
1006	Adesso il conto quadra.	现在账目对得上了。
1007	I bambini si svegliano alle sette.	孩子们七点醒来。
1008	Prendo un asciugamano pulito.	我拿一条干净的毛巾。
1009	Il tavolo è pulito.	桌子是干净的。
1010	A colazione mangio cereali con il latte.	早餐我吃牛奶麦片。
1011	Durante la settimana ci svegliamo presto.	工作日我们醒得很早。
1012	Oggi fa molto freddo.	今天很冷。
1013	Lui piglia l'autobus ogni mattina.	他每天早上坐公交车。
1015	Bevete abbastanza acqua durante il giorno?	你们白天喝足够的水吗？
1016	A che ora vi svegliate la domenica?	你们星期天几点醒来？
1017	Che tipo di musica ti piace?	你喜欢哪种类型的音乐？
1018	Potresti aiutarmi un momento?	你能帮我一下吗？
1020	C'è stato un calo dei prezzi.	价格有所下降。
1021	Hai un animale domestico a casa?	你家里有宠物吗？
1022	Dobbiamo partire alle sei.	我们必须六点出发。
1023	Lei beve un tè dopo pranzo.	她午饭后喝一杯茶。
1024	Cerco di seguire una dieta equilibrata.	我尽量保持均衡饮食。
1025	Sono a dieta da una settimana.	我已经节食一周了。
1026	Vado dal dentista due volte all'anno.	我每年去看两次牙医。
1027	Il colore dell'auto è blu.	这辆汽车的颜色是蓝色的。
1028	Mangio una banana prima di allenarmi.	我锻炼前吃一根香蕉。
1029	Mi serve un cucchiaio per la minestra.	我喝汤需要一把勺子。
1030	Aggiungi due cucchiai di zucchero.	加两勺糖。
1031	Potrebbe ripetere più lentamente, per favore?	您可以说慢一点再重复一遍吗？
1032	Mi piace il gelato al pistacchio.	我喜欢开心果味冰淇淋。
1033	Metto un po' di limone nel tè.	我在茶里放一点柠檬。
1034	Potremmo andare al cinema stasera.	我们今晚可以去电影院。
1036	Questo gelato ha un gusto molto delicato.	这个冰淇淋的味道很清淡。
1037	Mangio una fragola dopo l'altra.	我一颗接一颗地吃草莓。
1038	Questa pesca è dolce e succosa.	这个桃子又甜又多汁。
1039	Il prezzo dello zaino è troppo alto.	这个背包的价格太高了。
1041	Vorrei una limonata fresca.	我想要一杯冰凉的柠檬水。
1042	Potrei avere il conto, per favore?	可以给我账单吗？
1043	Vorrei una cioccolata calda con panna.	我想要一杯加奶油的热巧克力。
1044	A cena beviamo solo acqua.	晚饭时我们只喝水。
1045	Resta calmo e ascoltami.	保持冷静，听我说。
1046	Vorreste ordinare adesso?	你们现在想点餐吗？
1047	C'è una buona gelateria vicino alla piazza.	广场附近有一家不错的冰淇淋店。
1048	Paghi in contanti o con la carta?	你用现金还是刷卡？
1049	Lei preferisce il tè al caffè.	她比咖啡更喜欢茶。
1050	Paghiamo il conto insieme.	我们一起付账。
1051	Ho comprato un cappotto grigio.	我买了一件灰色外套。
1052	Indossa una maglia viola.	她穿着一件紫色上衣。
1054	Qual è il tuo colore preferito?	你最喜欢什么颜色？
1055	Il camerino è in fondo a destra.	试衣间在尽头右边。
1056	Questo risultato è peggiore del precedente.	这个结果比上一个更差。
1057	Preferisci il tè o il caffè?	你更喜欢茶还是咖啡？
1060	Questa soluzione è migliore.	这个解决办法更好。
1062	Porto gli occhiali da quando ero bambino.	我从小时候起就戴眼镜。
1063	Ho comprato degli occhiali nuovi.	我买了一副新眼镜。
1064	Potrebbero arrivare in ritardo.	他们可能会迟到。
1065	La borsa è marrone.	这个包是棕色的。
1067	Potreste chiudere la finestra?	你们可以把窗户关上吗？
1068	Mi manchi molto quando sei lontano.	你不在身边时我很想你。
1069	Vorrei dei pomodori maturi.	我想要一些熟透的西红柿。
1070	I muri della cucina sono bianchi.	厨房的墙是白色的。
1073	Mi dai una forchetta, per favore?	请给我一把叉子好吗？
1074	I piatti sono ancora sporchi.	盘子还很脏。
1075	Il pavimento della cucina è bagnato.	厨房的地板是湿的。
1076	Sappiamo già la risposta.	我们已经知道答案了。
1079	Devo comprare il detersivo per i piatti.	我得买洗碗清洁剂。
1080	Preferiamo mangiare a casa.	我们更喜欢在家吃饭。
1081	I bambini preferiscono il gelato al cioccolato.	孩子们更喜欢巧克力冰淇淋。
1083	Taglio il pane con un coltello.	我用刀切面包。
1084	Ho una pianta sul balcone.	我阳台上有一盆植物。
1085	Devo annaffiare le piante ogni sera.	我每天晚上都要给植物浇水。
1086	Metto sempre il casco quando vado in moto.	我骑摩托车时总是戴头盔。
1087	Salgo le scale invece di prendere l'ascensore.	我走楼梯，不坐电梯。
1088	Sapete dove si trova la stazione?	你们知道火车站在哪里吗？
1089	La bambina gioca in giardino.	那个女孩在花园里玩。
1090	La scopa è dietro la porta.	扫帚在门后面。
1091	Devo pulire la cucina dopo cena.	晚饭后我得打扫厨房。
1092	Il paese si trova in una valle verde.	这个村庄位于一个绿色山谷中。
1093	I miei nipoti vengono a trovarmi domenica.	我的孙辈或侄子侄女星期天来看我。
1094	Il bambino dorme già.	那个男孩已经睡着了。
1096	Dopo due bicchieri di vino sono un po' brillo.	喝了两杯葡萄酒后我有点微醺。
1097	Venite a cena da noi sabato?	你们星期六来我们家吃晚饭吗？
1098	Questo pomodoro è marcio.	这个西红柿烂了。
1099	Loro conoscono bene Roma.	他们很熟悉罗马。
1100	Vieni qua un momento.	到这边来一下。
1101	La mia bicicletta è arancione.	我的自行车是橙色的。
1102	Apri la bocca, per favore.	请张开嘴。
1103	Conosciamo già questa famiglia.	我们已经认识这个家庭了。
1104	Mi fa male il naso.	我的鼻子疼。
1105	Oggi il cielo è azzurro.	今天天空是蓝色的。
1106	Ha i capelli lunghi e neri.	他有一头又长又黑的头发。
1108	Conoscete questo ristorante?	你们知道这家餐厅吗？
1109	Ho messo una pezza sul buco dei pantaloni.	我在裤子的破洞上打了一个补丁。
1110	I suoi capelli sono molto corti.	他的头发很短。
1111	È alto e piuttosto magro.	他个子高而且比较瘦。
1112	Maria si è persa nel centro della città.	玛丽亚在市中心迷路了。
1113	Ho pochi amici in questa città.	我在这座城市朋友很少。
1114	Da questa idea nasce un nuovo progetto.	一个新项目由这个想法产生。
1115	Lei conosce bene il quartiere.	她很熟悉这个街区。
1116	Questo tavolo è troppo basso.	这张桌子太矮了。
1117	Occhio alle macchine quando attraversi!	过马路时小心车辆！
1118	Ci sono due uomini davanti al negozio.	商店前面有两个男人。
1120	Il poliziotto controlla i documenti.	警察检查证件。
1122	Se causi un incidente, devi fermarti.	如果你造成事故，就必须停车。
1127	Verrei volentieri, ma devo lavorare.	我很愿意来，但我得工作。
1129	I miei genitori stanno bene.	我的父母身体很好。
1131	Il bagno è là, vicino alle scale.	洗手间在那里，靠近楼梯。
1134	È una questione importante.	这是一个重要问题。
